Neighbor info at step 173000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 174000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 175000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 176000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 177000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 178000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 179000: radial(max=144,actual=112), angular(max=24,actual=14).
Neighbor info at step 180000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 181000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 182000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 183000: radial(max=144,actual=109), angular(max=24,actual=17).
Neighbor info at step 184000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 185000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 186000: radial(max=144,actual=107), angular(max=24,actual=16).
Neighbor info at step 187000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 188000: radial(max=144,actual=111), angular(max=24,actual=14).
Neighbor info at step 189000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 190000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 191000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 192000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 193000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 194000: radial(max=144,actual=112), angular(max=24,actual=16).
Neighbor info at step 195000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 196000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 197000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 198000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 199000: radial(max=144,actual=111), angular(max=24,actual=14).
Neighbor info at step 200000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 201000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 202000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 203000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 204000: radial(max=144,actual=112), angular(max=24,actual=17).
Neighbor info at step 205000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 206000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 207000: radial(max=144,actual=107), angular(max=24,actual=15).
Neighbor info at step 208000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 209000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 210000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 211000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 212000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 213000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 214000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 215000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 216000: radial(max=144,actual=111), angular(max=24,actual=14).
Neighbor info at step 217000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 218000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 219000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 220000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 221000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 222000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 223000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 224000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 225000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 226000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 227000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 228000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 229000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 230000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 231000: radial(max=144,actual=108), angular(max=24,actual=17).
Neighbor info at step 232000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 233000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 234000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 235000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 236000: radial(max=144,actual=109), angular(max=24,actual=14).
Neighbor info at step 237000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 238000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 239000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 240000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 241000: radial(max=144,actual=107), angular(max=24,actual=16).
Neighbor info at step 242000: radial(max=144,actual=112), angular(max=24,actual=16).
Neighbor info at step 243000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 244000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 245000: radial(max=144,actual=107), angular(max=24,actual=16).
Neighbor info at step 246000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 247000: radial(max=144,actual=107), angular(max=24,actual=15).
Neighbor info at step 248000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 249000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 250000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 251000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 252000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 253000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 254000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 255000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 256000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 257000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 258000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 259000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 260000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 261000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 262000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 263000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 264000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 265000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 266000: radial(max=144,actual=107), angular(max=24,actual=15).
Neighbor info at step 267000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 268000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 269000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 270000: radial(max=144,actual=109), angular(max=24,actual=15).
